""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"82.5%"	0.0357213897516204	0.000492010507569693	0.0407855715925028	0.0507988789559357	0.37334482409136	272515.537485684	183195332
"85%"	0.0357223637873358	0.000520484459414783	0.0407981421230355	0.0508922380208354	0.373358004038403	272515.659076837	183195332
"87.5%"	0.0357234953624046	0.000559140830919557	0.0408099485802158	0.0509944771998264	0.373373333097628	272515.795615226	183195332
"90%"	0.0357247127584593	0.000597242334786834	0.0408214949084354	0.0511294816050959	0.373389537864296	272515.936895441	183195332
"92.5%"	0.0357262261454783	0.000639454668815375	0.0408347714069032	0.051317906112874	0.373410218117283	272516.081764069	183195332
"95%"	0.0357280569930078	0.000714597732658436	0.0408512283375846	0.051561132860381	0.373437138305924	272516.256760706	183195332
"97.5%"	0.0357307774117836	0.000805388019816785	0.0408725171816163	0.0519204963982087	0.373489697353999	272516.467729017	183195332
"100%"	0.0357564936803388	0.000948635413244689	0.0409591182540153	0.0526385969789451	0.373726502018877	272517.124438999	183195332
"Mean"	0.0352371744585317	0.00109293565069758	0.039263898632647	0.0495910590719565	0.371945053599732	617870.709447507	183194861
"Std."	7.82744909115566e-06	0.000165127597286611	0.000153337302609994	0.000595237720536025	0.000111524586411424	1.45250240890934	183194861
"Acceptance ratio"	0.16826	0.1926	0.15544	0.16308	0.18606	0.61218	183194861
"0%"	0.0352094035386406	0.000657213222599273	0.0387382117359874	0.0480379151189024	0.371530984926061	617858.21684794	183194861
"2.5%"	0.0352218834482565	0.000795968739875016	0.0389187555955286	0.048510407695743	0.371727222750742	617867.050891269	183194861
"5%"	0.0352246109781286	0.000849995043386803	0.0389975540491094	0.0486926219935261	0.371762483798728	617867.930395313	183194861
"7.5%"	0.0352261544717102	0.000872392165633012	0.0390401724824512	0.0487889079566277	0.371786504315105	617868.430027626	183194861
"10%"	0.035227231007268	0.000892062162988021	0.039070873081897	0.048856645859911	0.371804423492797	617868.781064202	183194861
"12.5%"	0.0352281513325929	0.000905988351914714	0.0390950141300138	0.0489050763151794	0.371816601064022	617869.062031304	183194861
"15%"	0.0352290189620116	0.000920051235526286	0.0391142316821097	0.0489637099527621	0.371829250253162	617869.310670854	183194861
"17.5%"	0.0352297125562476	0.000932477168121472	0.0391266293769994	0.04901453375097	0.371839717075302	617869.515661343	183194861
"20%"	0.0352305086464041	0.000944362708582819	0.0391401273560782	0.0490677454807249	0.371850508693661	617869.690014955	183194861
"22.5%"	0.0352312591512909	0.000955690432656489	0.0391528463017546	0.0491270768802555	0.371858911488015	617869.860228448	183194861
"25%"	0.0352319068179789	0.000969394899596775	0.039165989947543	0.0491739931122172	0.371867518994322	617870.004222413	183194861
"27.5%"	0.0352325155032124	0.000984641398556039	0.0391788899648219	0.04921967026789	0.371877697439534	617870.139868168	183194861
"30%"	0.0352330509639059	0.000997339942008266	0.0391901901940527	0.0492653584864577	0.371886763082444	617870.266423255	183194861
"32.5%"	0.03523354434856	0.00100981065611061	0.0391993121557705	0.0493058152284361	0.371895795451273	617870.375620009	183194861
"35%"	0.0352341135801182	0.00102263045148957	0.0392104510323811	0.0493488066932475	0.371903468205672	617870.476156445	183194861
"37.5%"	0.0352346706423384	0.00103493926177285	0.0392205707382281	0.049392327382883	0.371909249451447	617870.575949591	183194861
"40%"	0.035235206920403	0.00104769731538886	0.0392282519714394	0.049430144008593	0.371916363675935	617870.672397182	183194861
"42.5%"	0.035235715231341	0.00105962156574343	0.0392368826941617	0.0494575247052628	0.371923847196266	617870.761554509	183194861
"45%"	0.0352361908292123	0.00107137011077546	0.039247283705631	0.0494968094680043	0.371930645526618	617870.84649782	183194861
"47.5%"	0.0352367428091822	0.00108117058936457	0.0392567411866516	0.0495372195139226	0.371937728134555	617870.926408706	183194861
"50%"	0.0352371999006384	0.00109204323113254	0.0392658089741907	0.0495734655778495	0.371945706051428	617871.009445865	183194861
"52.5%"	0.0352377039196918	0.00110222918271134	0.0392770688863288	0.0496035339437412	0.371952942462509	617871.093573625	183194861
"55%"	0.0352381465862775	0.00111148508392171	0.0392887781624325	0.049637487094251	0.371960256023912	617871.170652688	183194861
"57.5%"	0.0352386586472389	0.001120940841066	0.0392991332514171	0.0496752522167392	0.371967335867115	617871.246992282	183194861
"60%"	0.0352391304667969	0.00112889654989769	0.0393095563090899	0.0497054565348921	0.371972828937788	617871.319853012	183194861
"62.5%"	0.035239655088421	0.0011375379829534	0.0393221716072285	0.0497425044465807	0.371979104014485	617871.391631193	183194861
"65%"	0.0352401794362972	0.00114661613833292	0.0393322181846453	0.049777059537983	0.371987100434205	617871.464365354	183194861
"67.5%"	0.0352407736268411	0.00115626661972276	0.0393438645389404	0.0498220390792277	0.371995021964131	617871.537638126	183194861
"70%"	0.0352413495109896	0.00116933225386178	0.0393548368229214	0.0498685833976067	0.372003061481266	617871.617428051	183194861
"72.5%"	0.0352418559480409	0.00118116738015847	0.0393636082219901	0.0499116713053518	0.372010571201737	617871.688150933	183194861
"75%"	0.0352425121446123	0.00119745916220128	0.0393761315193092	0.0499666943931852	0.372018524305309	617871.762037244	183194861
"77.5%"	0.0352430517801109	0.00121075753121856	0.0393885335683398	0.0500166579362369	0.372028921281714	617871.834936939	183194861
"80%"	0.0352437284035467	0.00122575720969999	0.0394008958544219	0.0500783425467231	0.372037768476382	617871.908589992	183194861
"82.5%"	0.03524441191398	0.00124350005785356	0.0394111834241416	0.0501302697747209	0.372048712064825	617871.985872055	183194861
"85%"	0.0352452270931006	0.00125825796523102	0.0394230768358173	0.0501950617128485	0.372060483396146	617872.065679268	183194861
"87.5%"	0.0352460544830523	0.00127626225100546	0.0394352521524499	0.0502593313521732	0.372073150088516	617872.145021681	183194861
"90%"	0.0352471517416445	0.0012966937210502	0.0394504539609957	0.0503397699573468	0.372087244464097	617872.239005447	183194861
"92.5%"	0.0352483733716675	0.0013283311057004	0.0394682578112589	0.0504471797940246	0.372104360619498	617872.343518718	183194861
"95%"	0.0352500896545168	0.00137904301067917	0.0394918306418546	0.0506002359359672	0.372129748169541	617872.45696895	183194861
"97.5%"	0.0352525022691874	0.00145055988095962	0.0395380066050168	0.0509072179193621	0.372163373393504	617872.596855759	183194861
"100%"	0.0352658073014354	0.00162866693837368	0.0397007957276107	0.0517099272805426	0.372381333157089	617872.952857425	183194861
"Mean"	0.0353608315210371	0.00283346494164008	0.0377466903858005	0.0561172309871878	0.371232356302911	596308.196852202	183195321
"Std."	7.50483290904422e-06	0.00021698241464457	0.000193673402483104	0.00100248011001032	0.000108537762380336	1.44629669007915	183195321
"Acceptance ratio"	0.16274	0.18464	0.154	0.1833	0.18316	0.61198	183195321
"0%"	0.0353331386539526	0.00243846473753998	0.0371589710615852	0.0541984352619222	0.370796014368732	596297.061314177	183195321
"2.5%"	0.0353461741303246	0.00253885942661423	0.0372635876510809	0.0547665274158271	0.371017714076375	596304.628526271	183195321
"5%"	0.035348882096055	0.00256510223781984	0.0373183150477566	0.0548965679785611	0.371052496045	596305.396818326	183195321
"7.5%"	0.0353502236688369	0.00258085003346749	0.0373841943472768	0.0549703575502531	0.371074498382168	596305.90364841	183195321
"10%"	0.0353512857293515	0.00259176624368104	0.0374445028565221	0.0550254057669911	0.371094106327202	596306.255750526	183195321
"12.5%"	0.0353521738759419	0.00260362152220495	0.0375011431325625	0.0550899965145928	0.371109131457355	596306.548393836	183195321
"15%"	0.035353058219867	0.00261499677760579	0.0375525391009508	0.0551392584395856	0.371121425268648	596306.775630199	183195321
"17.5%"	0.0353537851043716	0.00262827337340917	0.0376013050936345	0.0551883704457439	0.371132558062046	596306.971401566	183195321
"20%"	0.0353545212400112	0.00264067417245547	0.0376294065252789	0.0552416498915308	0.371142777734258	596307.153156824	183195321
"22.5%"	0.0353551612392379	0.00265331287497752	0.0376489295062989	0.0552960907196389	0.371152284526875	596307.312519913	183195321
"25%"	0.0353557811325577	0.00266557977605492	0.0376628529591516	0.0553686322593011	0.371161345028634	596307.450318818	183195321
"27.5%"	0.0353563584551771	0.00268009601434332	0.0376755841252906	0.0554263882320871	0.371169192670779	596307.573240513	183195321
"30%"	0.0353568059567182	0.00269426003581397	0.0376867911829988	0.0554930547840681	0.37117565111282	596307.693151496	183195321
"32.5%"	0.0353573256861912	0.00270758567890489	0.037698025913418	0.0555595528075644	0.371182135356337	596307.808402512	183195321
"35%"	0.0353578678554161	0.00272188517791674	0.0377076295602804	0.055610346590388	0.371190238217754	596307.928721309	183195321
"37.5%"	0.0353582955550571	0.00273672391395646	0.0377189720652386	0.0556739904811866	0.371197648105444	596308.032736296	183195321
"40%"	0.035358774039071	0.00275198495675404	0.0377282086753618	0.0557326295536379	0.371203975573592	596308.127572999	183195321
"42.5%"	0.0353592924088275	0.00276742066000351	0.0377376844360203	0.0557981433917434	0.371210171382929	596308.216001282	183195321
"45%"	0.0353597160582232	0.0027808133488332	0.0377495789830898	0.055856304051932	0.371216956508799	596308.308035361	183195321
"47.5%"	0.0353602241312189	0.00279292575685515	0.0377607841670796	0.0559104405524449	0.371224908715009	596308.397037658	183195321
"50%"	0.0353607017440421	0.00280545693789624	0.0377720736609207	0.0559701484208463	0.371232570838227	596308.480052613	183195321
"52.5%"	0.0353612218929137	0.00281682556934703	0.0377854942283541	0.0560151497479079	0.371239542296378	596308.56632492	183195321
"55%"	0.0353617154843291	0.00282935397814007	0.0377961424113511	0.0560689850130903	0.371246799353587	596308.645245289	183195321
"57.5%"	0.0353622615012291	0.0028402043829817	0.0378089988704714	0.0561124715598196	0.371253562228755	596308.72636002	183195321
"60%"	0.0353627807011395	0.00284958224755873	0.0378197926298386	0.056162691640674	0.371261469606182	596308.808446326	183195321
"62.5%"	0.0353632917112813	0.00286099444487031	0.0378328527795638	0.0562179893973717	0.371267563367028	596308.882317616	183195321
"65%"	0.0353637788440844	0.00287348274308172	0.0378463678539942	0.0562788548064418	0.371273703019044	596308.951729173	183195321
"67.5%"	0.0353643350064081	0.00288391086517914	0.0378590719169936	0.056334095527995	0.371280587383473	596309.027393736	183195321
"70%"	0.0353648223045366	0.00289507049666311	0.0378701393385803	0.0563872754406113	0.371288528015252	596309.104832565	183195321
"72.5%"	0.0353654091438977	0.00290712609182612	0.0378810338650789	0.0564473875615693	0.371296868550434	596309.177387712	183195321
"75%"	0.0353660207686626	0.00292034647766286	0.0378929361975924	0.0565159441035061	0.371304891395299	596309.257133573	183195321
"77.5%"	0.03536652349804	0.00293799121846362	0.0379036158184996	0.0566004706489879	0.371313990741822	596309.326244165	183195321
"80%"	0.0353671428424402	0.00296286213754158	0.0379149583488577	0.0567243447522434	0.371323767203562	596309.412299831	183195321
"82.5%"	0.0353677628906374	0.00299461139999967	0.0379253546130286	0.0568479819349644	0.371334954245654	596309.496069897	183195321
"85%"	0.0353685530218446	0.00304063842276412	0.0379390096190627	0.0570189716783271	0.371347256443988	596309.577995708	183195321
"87.5%"	0.0353693664688106	0.00311523580636379	0.0379500083525805	0.05738178394519	0.371359655763765	596309.671204122	183195321
"90%"	0.0353704443227898	0.00318495081294068	0.0379627993852115	0.0577164399717678	0.371370543568962	596309.766786898	183195321
"92.5%"	0.035371536352829	0.00324392648810537	0.037978909949954	0.0580051151278589	0.371388767918802	596309.86567633	183195321
"95%"	0.0353731100168552	0.0033219755928501	0.0379959438357494	0.0583867144565302	0.371409106402013	596309.989753793	183195321
"97.5%"	0.0353758351900672	0.00338770075797453	0.0380217300012996	0.0587040570099106	0.371445574803078	596310.139738255	183195321
"100%"	0.0353878923800565	0.00347236055879445	0.0381263202810632	0.0592832419639086	0.371663809403378	596310.519755162	183195321
"Mean"	0.0359351639940601	2.75542795381596e-05	0.0410139049026257	0.0527293449761162	0.370646838839905	225617.443370101	183195304
"Std."	9.87647061712568e-06	2.65193674948374e-05	5.02054486962381e-05	0.000179887069481173	0.000139529378914221	1.68233860642007	183195304
"Acceptance ratio"	0.10928	0.17916	0.19592	0.19506	0.1176	0.5785	183195304
"0%"	0.035894201079932	1.06705484337943e-09	0.0408131628479419	0.0521027447624312	0.370140645045558	225606.01598594	183195304
"2.5%"	0.0359162129376475	7.33081629371087e-07	0.0409108197689904	0.0523966369828023	0.37037471773144	225613.435011469	183195304
"5%"	0.0359188429339951	1.59008795339311e-06	0.040928655725518	0.0524470037547987	0.370416578840199	225614.300573369	183195304
"7.5%"	0.0359208259871544	2.20557394451601e-06	0.0409406041973643	0.0524783027191037	0.370443808243474	225614.849772325	183195304
"10%"	0.0359221527223954	2.8776173648717e-06	0.0409497399798584	0.052504525414449	0.370465787211772	225615.22332861	183195304
"12.5%"	0.0359236224305216	3.62596361683579e-06	0.0409569536981027	0.0525239764670983	0.37048162742867	225615.523877948	183195304
"15%"	0.0359248098618072	4.49073429713496e-06	0.0409629871449551	0.0525435689162868	0.370496207405939	225615.762027748	183195304
"17.5%"	0.0359257233509365	5.40800634431814e-06	0.0409682030677741	0.0525620340097049	0.370512031688518	225615.96687738	183195304
"20%"	0.035926661468219	6.26435264082058e-06	0.0409728551775236	0.0525787532513182	0.370529244598399	225616.154723817	183195304
"22.5%"	0.0359275262900433	7.09539764718983e-06	0.0409772440041885	0.0525934956644082	0.370540922056953	225616.326357307	183195304
"25%"	0.0359283194456258	7.93313096036838e-06	0.0409811243341625	0.0526063905138726	0.370553854423939	225616.480619745	183195304
"27.5%"	0.035929052837887	8.86009623089837e-06	0.0409849460277094	0.0526209939183906	0.370564493934841	225616.635058879	183195304
"30%"	0.035929824269278	9.75099743457227e-06	0.0409887295743373	0.0526332761397942	0.370574446544107	225616.786534999	183195304
"32.5%"	0.0359306605831988	1.07499081567547e-05	0.0409922790034941	0.0526456190993615	0.370583765017064	225616.924586281	183195304
"35%"	0.0359313308191927	1.17737676843159e-05	0.0409955345426516	0.0526576366834266	0.37059446581773	225617.053340427	183195304
"37.5%"	0.0359320260086261	1.274330708127e-05	0.040999431208269	0.0526678277738286	0.370603308235965	225617.175550586	183195304
"40%"	0.035932592161887	1.38252682943145e-05	0.0410031930670669	0.0526792547200838	0.370613672119043	225617.297888486	183195304
"42.5%"	0.0359331854486036	1.5064973391638e-05	0.0410055340547996	0.0526880658342692	0.370622532874385	225617.411525028	183195304
"45%"	0.0359339205658235	1.63823881651807e-05	0.0410085905577761	0.0526977164282403	0.370629708361469	225617.51827953	183195304
"47.5%"	0.0359346376932324	1.74467291758097e-05	0.0410119293402183	0.0527087228084774	0.370638663248031	225617.634097294	183195304
"50%"	0.0359353484186697	1.90473480139894e-05	0.0410144531572453	0.052720478423902	0.370648880210841	225617.742233764	183195304
"52.5%"	0.0359359446777692	2.04585757196936e-05	0.0410171800455829	0.052730914953087	0.370657814497464	225617.84077286	183195304
"55%"	0.0359364661125975	2.21687376110902e-05	0.0410206902676657	0.0527416568983734	0.370664085707997	225617.933251927	183195304
"57.5%"	0.0359371873784821	2.39284959211579e-05	0.0410235693392707	0.0527532024954091	0.370673199926444	225618.032310916	183195304
"60%"	0.03593786784067	2.56241046619892e-05	0.0410272050669502	0.0527648044012642	0.370680558091349	225618.134407873	183195304
"62.5%"	0.0359385148353342	2.72330036167462e-05	0.0410302629135211	0.0527772827290193	0.370691899045346	225618.232202433	183195304
"65%"	0.0359392166913138	2.94077230450458e-05	0.0410334308439115	0.0527882786169792	0.370699527151044	225618.337296174	183195304
"67.5%"	0.0359397850537464	3.13692296973193e-05	0.0410374683143521	0.0528022352583652	0.370710793237002	225618.436562506	183195304
"70%"	0.0359405845207893	3.38973884435699e-05	0.0410412094073015	0.0528161421756788	0.370719528532863	225618.529184875	183195304
"72.5%"	0.0359412671283771	3.62110011728015e-05	0.0410450510238804	0.0528303635516918	0.370730581922303	225618.621265708	183195304
"75%"	0.0359419609278248	3.89092705834442e-05	0.0410489168573145	0.0528461362938005	0.370740680064913	225618.715649789	183195304
"77.5%"	0.0359426796150296	4.16425933680676e-05	0.0410524956093717	0.0528617228097033	0.370750979265158	225618.810947564	183195304
"80%"	0.0359435179561136	4.49573309732567e-05	0.0410567901536226	0.0528811327299437	0.370765254118048	225618.904318921	183195304
"82.5%"	0.0359444856053239	4.94620446229013e-05	0.0410608038386866	0.052897862424493	0.370781261089798	225619.003622939	183195304
"85%"	0.0359453342419706	5.41925485042411e-05	0.0410655876354888	0.0529164450084	0.37079529955236	225619.096890671	183195304
"87.5%"	0.035946334421306	5.9005640259029e-05	0.0410706759252605	0.0529384024221932	0.370810073457093	225619.199456517	183195304
"90%"	0.0359475451120393	6.55294603511265e-05	0.0410766400292946	0.0529654179873953	0.370828482284358	225619.311815549	183195304
"92.5%"	0.0359492954258513	7.29747904669724e-05	0.0410836752813296	0.0529994601425314	0.370848907056484	225619.428362812	183195304
"95%"	0.0359514209043883	8.27217484218409e-05	0.0410939145979049	0.053033650182528	0.37087544212784	225619.576684913	183195304
"97.5%"	0.0359544620600465	9.74452727899677e-05	0.0411097202910405	0.0530960829197577	0.370917556046228	225619.772163552	183195304
"100%"	0.0359715939242936	0.000182672660408555	0.0412198931320044	0.053510964826422	0.371127563145181	225620.327988231	183195304
"Mean"	0.0355324027185858	1.29904877452012e-05	0.0410393035316518	0.0520484591861718	0.379653842196787	129900.473503208	183195326
"Std."	8.84691634249571e-06	1.34473927808088e-05	4.00089824335239e-05	0.000140899362417817	0.000128840336294373	1.78130489694616	183195326
"Acceptance ratio"	0.18168	0.12588	0.17056	0.17178	0.111	0.56316	183195326
"0%"	0.0354953653550618	5.86981892276893e-09	0.0408909191582892	0.0515231243279026	0.379127769623584	129889.737578551	183195326
"2.5%"	0.0355157754393355	3.16006407163096e-07	0.0409608387419351	0.0517737151612067	0.379394091363492	129896.132283831	183195326
"5%"	0.0355182327702664	6.27808095574166e-07	0.040972731411466	0.0518209120860664	0.379437013557442	129897.038435635	183195326
"7.5%"	0.0355198362685368	9.24707410770189e-07	0.0409813700470368	0.0518451083471469	0.379469553494388	129897.663006854	183195326
