""	"Theta"	"DeltaD"	"DeltaS"	"Lambda"	"Rho"	"LogLik"	Sample
"7.5%"	0.0369703480855498	0.0436108801882581	3.18944487003141e-08	0.0925194880492895	0.401604569981699	-106066.405441104	383194
"10%"	0.0369719252662352	0.043615815554658	4.55427535721928e-08	0.0925679236869806	0.4016262733406	-106066.013789416	383194
"12.5%"	0.0369731546485845	0.0436202936346967	5.92275903164255e-08	0.0926108860427961	0.401644467430752	-106065.689626921	383194
"15%"	0.0369742285115507	0.0436244869690999	7.40253814236241e-08	0.0926461071801954	0.401660599602662	-106065.421514861	383194
"17.5%"	0.0369753957099347	0.0436282213917279	8.52674359228002e-08	0.0926772357246322	0.401677635191452	-106065.186446349	383194
"20%"	0.036976367219745	0.0436315131641478	1.00292437557583e-07	0.0927091938649056	0.40169179502618	-106064.978567109	383194
"22.5%"	0.036977170493021	0.043634534575726	1.08013397334184e-07	0.0927342715759178	0.401706061166255	-106064.786178457	383194
"25%"	0.0369778744069574	0.0436378795631305	1.23804665902972e-07	0.092765408575154	0.401714992058373	-106064.60547469	383194
"27.5%"	0.0369787145713456	0.0436405373504521	1.32335758974305e-07	0.0927897687409247	0.401727200736318	-106064.456974262	383194
"30%"	0.0369795557126559	0.0436427529225436	1.47208606221126e-07	0.0928101736790861	0.401737214371276	-106064.314262807	383194
"32.5%"	0.0369802941894888	0.0436455634054284	1.65053999675536e-07	0.0928316026527268	0.401748070424654	-106064.191002327	383194
"35%"	0.0369808820653343	0.0436482443649956	1.76802732841884e-07	0.0928553271757732	0.401759939764524	-106064.068292068	383194
"37.5%"	0.0369815854022928	0.0436509550524587	1.94812458164123e-07	0.0928789786531685	0.401770446048883	-106063.9463496	383194
"40%"	0.0369822072393124	0.0436534736823867	2.18280724865213e-07	0.092898574748016	0.401778325139398	-106063.836395716	383194
"42.5%"	0.0369828608697778	0.0436559339248179	2.28785326968193e-07	0.0929213875217925	0.401787379318788	-106063.733418517	383194
"45%"	0.0369834927194213	0.0436582409269305	2.47327308034491e-07	0.0929415188389676	0.401797711407489	-106063.625396329	383194
"47.5%"	0.0369841383318392	0.0436607343585786	2.61603754800422e-07	0.0929623373327596	0.40180796326266	-106063.521912033	383194
"50%"	0.0369847538791013	0.0436630188831539	2.77010902868054e-07	0.0929813202195505	0.401817250696836	-106063.415134907	383194
"52.5%"	0.0369854464403627	0.043665189417141	2.96938591792467e-07	0.0930014312873028	0.40182891724725	-106063.30967924	383194
"55%"	0.0369860420575711	0.0436676208117882	3.26184138577759e-07	0.0930214575497937	0.40183988170489	-106063.212102734	383194
"57.5%"	0.0369869038796652	0.0436701329739607	3.45736067784603e-07	0.0930425861260869	0.401847472179743	-106063.114704301	383194
"60%"	0.0369876390849918	0.0436725502890302	3.65709063647398e-07	0.093067123179157	0.401856831591949	-106063.022813224	383194
"62.5%"	0.0369882216649671	0.0436752222882209	3.79628972528431e-07	0.0930900442925598	0.401868573015425	-106062.919229037	383194
"65%"	0.0369888730360146	0.0436774780597405	4.12127098148537e-07	0.0931119930911228	0.401876125857459	-106062.837406775	383194
"67.5%"	0.0369896542557097	0.0436800581654161	4.38636573526786e-07	0.093133578995242	0.401885688447146	-106062.750991485	383194
"70%"	0.0369903028269233	0.0436824404970302	4.8707889562281e-07	0.0931581229180621	0.401895176929323	-106062.660407571	383194
"72.5%"	0.036991134435238	0.0436849915949606	5.19264067741166e-07	0.0931815440642908	0.401905733006518	-106062.562156974	383194
