label,x,y,plot_type,plot_num
cKIWA,0.0,24116.95593712355,path,0
cKIWA,3928.0076220099036,24116.95593712355,path,0
cKIWA,4169.31702839719,24116.95593712355,path,0
cKIWA,4425.4508025593,24116.95593712355,path,0
cKIWA,4697.319650312528,24116.95593712355,path,0
cKIWA,4985.890224890042,24116.95593712355,path,0
cKIWA,5292.188563961177,24116.95593712355,path,0
cKIWA,5617.303737797219,24116.95593712355,path,0
cKIWA,5962.391721555086,24116.95593712355,path,0
cKIWA,6328.679505447096,24116.95593712355,path,0
cKIWA,6717.469457410936,15396.839507711948,path,0
cKIWA,7130.143953791655,15396.839507711948,path,0
cKIWA,7568.170294500478,15396.839507711948,path,0
cKIWA,8033.105920126716,15396.839507711948,path,0
cKIWA,8526.603949552657,15396.839507711948,path,0
cKIWA,9050.419057760935,15396.839507711948,path,0
cKIWA,9606.413714733359,15396.839507711948,path,0
cKIWA,10196.564807624276,25132.99903822717,path,0
cKIWA,10822.970669754019,25132.99903822717,path,0
cKIWA,11487.858541414766,25132.99903822717,path,0
cKIWA,12193.592489016288,25132.99903822717,path,0
cKIWA,12942.681810728804,25132.99903822717,path,0
cKIWA,13737.789958509948,25132.99903822717,path,0
cKIWA,14581.744008238848,25132.99903822717,path,0
cKIWA,15477.54471162929,25132.99903822717,path,0
cKIWA,16428.377165662278,57555.87013870867,path,0
cKIWA,17437.622137474205,57555.87013870867,path,0
cKIWA,18508.8680849672,57555.87013870867,path,0
cKIWA,19645.92391588197,57555.87013870867,path,0
cKIWA,20852.832530699146,57555.87013870867,path,0
cKIWA,22133.885197522057,57555.87013870867,path,0
cKIWA,23493.63681005213,57555.87013870867,path,0
cKIWA,24936.922082907917,57555.87013870867,path,0
cKIWA,26468.872741871626,167954.4948406288,path,0
cKIWA,28094.935770184547,167954.4948406288,path,0
cKIWA,29820.892775767745,167954.4948406288,path,0
cKIWA,31652.880548229678,167954.4948406288,path,0
cKIWA,33597.41287875318,167954.4948406288,path,0
cKIWA,35661.40372044408,167954.4948406288,path,0
cKIWA,37852.191771490296,167954.4948406288,path,0
cKIWA,40177.56656853875,167954.4948406288,path,0
cKIWA,42645.79618306758,167954.4948406288,path,0
cKIWA,45265.65661923027,167954.4948406288,path,0
cKIWA,48046.463017698494,167954.4948406288,path,0
cKIWA,50998.102776451575,167954.4948406288,path,0
cKIWA,54131.07070627611,167954.4948406288,path,0
cKIWA,57456.50634597478,167954.4948406288,path,0
cKIWA,60986.2335699612,167954.4948406288,path,0
cKIWA,64732.802629069476,167954.4948406288,path,0
cKIWA,68709.53477405786,167954.4948406288,path,0
cKIWA,72930.56962046954,320999.09639235114,path,0
cKIWA,77410.9154232603,320999.09639235114,path,0
cKIWA,82166.50243994867,320999.09639235114,path,0
cKIWA,87214.23957202636,320999.09639235114,path,0
cKIWA,92572.07448602167,320999.09639235114,path,0
cKIWA,98259.05742798226,320999.09639235114,path,0
cKIWA,104295.40895827493,320999.09639235114,path,0
cKIWA,110702.59184753899,320999.09639235114,path,0
cKIWA,117503.38738942615,320999.09639235114,path,0
cKIWA,124721.97640146303,320999.09639235114,path,0
cKIWA,132384.02520204204,320999.09639235114,path,0
cKIWA,140516.77686923917,320999.09639235114,path,0
cKIWA,149149.14810593773,320999.09639235114,path,0
cKIWA,158311.83205566925,320999.09639235114,path,0
cKIWA,168037.407434744,320999.09639235114,path,0
cKIWA,178360.45436869786,320999.09639235114,path,0
cKIWA,189317.67734492375,320999.09639235114,path,0
cKIWA,200948.03571865507,320999.09639235114,path,0
cKIWA,213292.88223632757,320999.09639235114,path,0
cKIWA,226396.1100688503,320999.09639235114,path,0
cKIWA,240304.3088775763,320999.09639235114,path,0
cKIWA,255066.9304678785,320999.09639235114,path,0
cKIWA,270736.46461932623,320999.09639235114,path,0
cKIWA,287368.6257176423,320999.09639235114,path,0
cKIWA,305022.55085202685,320999.09639235114,path,0
cKIWA,323761.0100821992,320999.09639235114,path,0
cKIWA,343650.6296227813,320999.09639235114,path,0
cKIWA,364762.12873857445,320999.09639235114,path,0
cKIWA,387170.5711930292,320999.09639235114,path,0
cKIWA,410955.6321439575,320999.09639235114,path,0
cKIWA,436201.88143545634,320999.09639235114,path,0
cKIWA,462999.0842933135,320999.09639235114,path,0
cKIWA,491442.5204930394,320999.09639235114,path,0
cKIWA,521633.32313536416,254261.4961843295,path,0
cKIWA,553678.8382337318,254261.4961843295,path,0
cKIWA,587693.0063923511,254261.4961843295,path,0
cKIWA,623796.7679318805,254261.4961843295,path,0
cKIWA,662118.4929032098,254261.4961843295,path,0
cKIWA,702794.4375182982,254261.4961843295,path,0
cKIWA,745969.2286209308,254261.4961843295,path,0
cKIWA,791796.3779199927,254261.4961843295,path,0
cKIWA,840438.8278136384,254261.4961843295,path,0
cKIWA,892069.5307451071,254261.4961843295,path,0
cKIWA,946872.0641501053,254261.4961843295,path,0
cKIWA,1005041.2831822847,254261.4961843295,path,0
cKIWA,1066784.0135376141,254261.4961843295,path,0
cKIWA,1132319.7868410493,254261.4961843295,path,0
cKIWA,1201881.621210246,254261.4961843295,path,0
cKIWA,1275716.8497716484,254261.4961843295,path,0
cKIWA,1354088.0000748497,254261.4961843295,path,0
cKIWA,1437273.7275320212,337706.1229003353,path,0
